Data Source in SDW: http://sdw.ecb.europa.eu/browseSelection.do?df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&activeTab=&REF_AREA=67&BS_ITEM=A20&BS_ITEM=A20&MATURITY_NOT_IRATE=&node=1513,,,
,MIR.M.BG.B.A20.F.R.A.2240.BGN.O,MIR.M.BG.B.A20.I.R.A.2240.BGN.O,MIR.M.BG.B.A20.J.R.A.2240.BGN.O
,"Loans, Up to 1 year","Loans, Over 1 and up to 5 years","Loans, Over 5 years"
Collection:,End of period (E),End of period (E),End of period (E)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ]
2017Feb,4.05,4.48,4.49
2017Jan,4.07,4.49,4.56
2016Dec,4.12,4.53,4.62
2016Nov,4.17,4.57,4.74
2016Oct,4.24,4.61,4.82
2016Sep,4.24,4.67,4.94
2016Aug,4.27,4.77,5.04
2016Jul,4.26,4.8,5.09
2016Jun,4.43,4.89,5.22
2016May,4.51,5.02,5.29
2016Apr,4.5,5.03,5.39
2016Mar,4.65,5.2,5.56
2016Feb,4.76,5.26,5.66
2016Jan,4.87,5.37,5.74
2015Dec,5.01,5.52,5.88
2015Nov,5.14,5.67,6.05
2015Oct,5.22,5.73,6.13
2015Sep,5.28,5.83,6.24
2015Aug,5.37,5.9,6.29
2015Jul,5.42,5.94,6.36
2015Jun,5.47,6.02,6.43
2015May,5.55,6.12,6.48
2015Apr,5.6,6.13,6.54
2015Mar,5.65,6.18,6.68
2015Feb,5.68,6.25,6.71
2015Jan,5.7,6.32,6.78
2014Dec,5.79,6.41,6.91
2014Nov,5.85,6.47,6.95
2014Oct,5.94,7.13,7.53
2014Sep,6.07,7.2,7.63
2014Aug,6.12,7.24,7.71
2014Jul,6.21,7.29,7.82
2014Jun,6.3,7.44,7.91
2014May,6.47,7.57,8.01
2014Apr,6.49,7.59,8.07
2014Mar,6.55,7.63,8.13
2014Feb,6.62,7.71,8.17
2014Jan,6.8,7.75,8.22
2013Dec,6.75,7.85,8.27
2013Nov,6.79,8.02,8.28
2013Oct,6.86,8.16,8.34
2013Sep,6.88,8.23,8.4
2013Aug,7,8.27,8.45
2013Jul,7.07,8.29,8.54
2013Jun,7.09,8.35,8.57
2013May,7.09,8.31,8.58
2013Apr,7.46,8.36,8.63
2013Mar,7.02,8.28,8.61
2013Feb,7.26,8.36,8.79
2013Jan,7.25,8.4,8.85
2012Dec,7.15,8.54,8.88
2012Nov,7.33,8.56,9
2012Oct,7.33,8.51,9
2012Sep,7.45,8.62,9.14
2012Aug,7.54,8.62,9.12
2012Jul,7.74,8.6,9.1
2012Jun,7.84,8.99,9.21
2012May,7.95,9.06,9.26
2012Apr,8,9.06,9.3
2012Mar,8.09,9.18,9.38
2012Feb,8.21,9.58,9.42
2012Jan,8.32,9.62,9.45
2011Dec,8.53,9.74,9.52
2011Nov,8.51,9.73,9.55
2011Oct,8.6,9.76,9.6
2011Sep,8.77,9.78,9.65
2011Aug,8.45,9.83,9.69
2011Jul,8.75,9.85,9.69
2011Jun,8.51,9.94,9.81
2011May,8.57,9.9,9.83
2011Apr,8.69,9.92,9.86
2011Mar,8.81,9.97,9.94
2011Feb,9.02,9.98,9.96
2011Jan,8.86,10,9.95
2010Dec,8.9,10.04,9.98
2010Nov,9.12,10.06,10.02
2010Oct,9.17,10.06,10.05
2010Sep,9.27,10.09,10.06
2010Aug,9.17,10.3,10.11
2010Jul,9.1,10.25,10.1
2010Jun,9.12,10.36,10.18
2010May,9.11,10.38,10.21
2010Apr,9.15,10.4,10.25
2010Mar,9.16,10.38,10.28
2010Feb,9.17,10.47,10.32
2010Jan,9.18,10.52,10.37
2009Dec,9.34,10.49,10.43
2009Nov,9.41,10.57,10.53
2009Oct,9.52,10.62,10.66
2009Sep,9.69,10.64,10.75
2009Aug,9.76,10.76,10.87
2009Jul,9.74,10.83,10.95
2009Jun,9.86,10.77,11.07
2009May,9.72,10.73,11.07
2009Apr,9.7,10.84,11.26
2009Mar,9.88,10.92,11.33
2009Feb,10.04,10.91,11.28
2009Jan,10.55,11.14,11.59
2008Dec,10.48,11.43,11.88
2008Nov,10.47,11.35,11.8
2008Oct,10.34,11.02,11.09
2008Sep,9.93,10.73,10.61
2008Aug,9.9,10.76,10.57
2008Jul,9.82,10.63,10.38
2008Jun,9.67,10.55,10.31
2008May,9.58,10.49,10.26
2008Apr,9.59,10.48,10.06
2008Mar,9.47,10.4,9.88
2008Feb,9.33,10.34,9.82
2008Jan,9.23,10.3,9.8
2007Dec,9.21,10.22,9.76
2007Nov,9.14,10.1,9.66
2007Oct,8.92,9.97,9.55
2007Sep,8.75,9.89,9.51
2007Aug,8.8,9.88,9.46
2007Jul,8.75,9.82,9.48
2007Jun,8.55,9.78,9.43
2007May,8.73,9.75,9.46
2007Apr,8.72,9.7,9.38
2007Mar,8.56,9.69,9.43
2007Feb,8.52,9.84,9.44
2007Jan,8.46,9.85,9.43
